"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_452.txt",92.2,100,99.8,100,100,98.4
"1950_53_Seite_193.txt",99.9,99.8,93.7,100,99,98.5
"1950_53_Seite_265.txt",99.9,99.9,93.2,100,100,98.6
"1950_53_Seite_296.txt",100,100,93.2,100,100,98.6
"1950_53_Seite_194.txt",94.8,99.9,99,100,100,98.7
"1950_53_Seite_474.txt",100,100,93.7,100,100,98.7
"1950_53_Seite_308.txt",99.8,100,94.7,100,100,98.9
"1950_53_Seite_455.txt",99.8,100,95.1,100,99.8,98.9
"1950_53_Seite_470.txt",100,100,95.1,100,100,99
"1950_53_Seite_482.txt",100,100,95.3,100,100,99
"1950_53_Seite_118.txt",100,100,97.5,100,98.1,99.1
"1950_53_Seite_270.txt",100,100,95.6,100,100,99.1
"1950_53_Seite_365.txt",99.3,100,96.1,100,100,99.1
"1950_53_Seite_188.txt",100,100,96.1,100,100,99.2
"1950_53_Seite_34.txt",100,99.8,96.2,100,100,99.2
"1950_53_Seite_346.txt",99.5,99.2,97.5,100,100,99.2
"1950_53_Seite_137.txt",98.4,99.9,98.1,100,100,99.3
"1950_53_Seite_159.txt",99.9,99.7,96.9,100,100,99.3
"1950_53_Seite_199.txt",99.9,98.3,98.1,100,100,99.3
"1950_53_Seite_223.txt",100,100,96.8,100,100,99.3
"1950_53_Seite_234.txt",100,100,96.5,100,100,99.3
"1950_53_Seite_418.txt",97.2,100,99.5,100,100,99.3
"1950_53_Seite_109.txt",98.3,100,99.7,99.2,100,99.4
"1950_53_Seite_247.txt",99.4,100,97.8,100,100,99.4
"1950_53_Seite_299.txt",99.1,99.9,97.9,100,100,99.4
"1950_53_Seite_347.txt",100,99.8,97.8,100,99.6,99.4
"1950_53_Seite_445.txt",100,99.8,97.4,100,100,99.4
"1950_53_Seite_497.txt",98.8,99.5,98.9,100,100,99.4
"1950_53_Seite_499.txt",99.7,99,98.3,100,100,99.4
"1950_53_Seite_204.txt",97.7,100,99.7,100,100,99.5
"1950_53_Seite_205.txt",100,99.8,97.8,100,100,99.5
"1950_53_Seite_250.txt",99.9,100,97.9,100,100,99.5
"1950_53_Seite_32.txt",100,100,97.8,100,100,99.5
"1950_53_Seite_341.txt",99.9,99.9,97.9,100,100,99.5
"1950_53_Seite_432.txt",99.9,99.9,97.6,100,100,99.5
"1950_53_Seite_438.txt",99.6,99.9,98.2,100,99.9,99.5
"1950_53_Seite_110.txt",100,98.7,99.2,100,100,99.6
"1950_53_Seite_151.txt",99.7,99.6,98.9,100,99.9,99.6
"1950_53_Seite_228.txt",100,99.9,98.1,100,99.9,99.6
"1950_53_Seite_311.txt",100,99.7,99.2,100,99.3,99.6
"1950_53_Seite_380.txt",99.8,98.3,99.8,100,100,99.6
"1950_53_Seite_427.txt",99.9,100,98.1,100,100,99.6
"1950_53_Seite_446.txt",98.5,99.8,99.8,100,100,99.6
"1950_53_Seite_81.txt",99.9,99.9,98.3,100,100,99.6
"1950_53_Seite_114.txt",99.3,99.9,99.5,100,100,99.7
"1950_53_Seite_124.txt",99.9,99.9,98.9,100,100,99.7
"1950_53_Seite_135.txt",99.7,99.4,99.2,100,100,99.7
"1950_53_Seite_187.txt",98.8,100,99.5,100,100,99.7
"1950_53_Seite_227.txt",100,100,98.5,100,99.9,99.7
"1950_53_Seite_268.txt",100,98.9,99.6,100,100,99.7
"1950_53_Seite_307.txt",100,100,98.9,100,99.9,99.7
"1950_53_Seite_348.txt",99.1,99.6,99.8,100,100,99.7
"1950_53_Seite_351.txt",100,100,98.5,100,100,99.7
"1950_53_Seite_391.txt",99.9,100,98.5,100,100,99.7
"1950_53_Seite_403.txt",99.8,99.1,99.8,100,100,99.7
"1950_53_Seite_434.txt",99.9,100,98.7,100,99.9,99.7
"1950_53_Seite_476.txt",100,99.9,98.7,100,100,99.7
"1950_53_Seite_480.txt",100,99.2,99.5,100,100,99.7
"1950_53_Seite_515.txt",98.8,99.9,99.8,100,100,99.7
"1950_53_Seite_61.txt",100,99.9,98.7,100,100,99.7
"1950_53_Seite_64.txt",99.9,99.9,98.7,100,100,99.7
"1950_53_Seite_94.txt",99.7,99.6,99.1,100,100,99.7
"1950_53_Seite_100.txt",100,99.5,99.8,100,100,99.8
"1950_53_Seite_130.txt",99.9,99.5,99.4,100,100,99.8
"1950_53_Seite_136.txt",100,99.7,99.1,100,100,99.8
"1950_53_Seite_139.txt",100,99.9,98.9,100,100,99.8
"1950_53_Seite_147.txt",100,100,98.9,100,100,99.8
"1950_53_Seite_150.txt",100,99.9,99.1,100,100,99.8
"1950_53_Seite_175.txt",100,99,99.8,100,100,99.8
"1950_53_Seite_182.txt",100,99.2,99.8,100,100,99.8
"1950_53_Seite_184.txt",99.9,100,99.1,100,100,99.8
"1950_53_Seite_201.txt",100,99.9,99.4,100,100,99.8
"1950_53_Seite_217.txt",100,99.9,99.3,100,100,99.8
"1950_53_Seite_224.txt",100,100,98.9,100,99.9,99.8
